source,config,second,level,r_raw
bbb,L2T2_sf,0,1,147.112
bbb,L2T2_sf,1,1,358.248
bbb,L2T2_sf,2,1,256.544
bbb,L2T2_sf,3,1,253.816
bbb,L2T2_sf,4,1,242.568
bbb,L2T2_sf,5,1,272.56
bbb,L2T2_sf,6,1,263.832
bbb,L2T2_sf,7,1,279.584
bbb,L2T2_sf,8,1,258.304
bbb,L2T2_sf,9,1,260.336
bbb,L2T2_sf,10,1,270.928
bbb,L2T2_sf,11,1,274.696
bbb,L2T2_sf,12,1,244.144
bbb,L2T2_sf,13,1,282.272
bbb,L2T2_sf,14,1,260.016
bbb,L2T2_sf,15,1,236.432
bbb,L2T2_sf,16,1,278.168
bbb,L2T2_sf,17,1,304.928
bbb,L2T2_sf,18,1,246.592
bbb,L2T2_sf,19,1,287.952
bbb,L2T2_sf,20,1,264.36
bbb,L2T2_sf,21,1,201.648
bbb,L2T2_sf,22,1,252.472
bbb,L2T2_sf,23,1,274.584
bbb,L2T2_sf,24,1,277.648
bbb,L2T2_sf,25,1,278.344
bbb,L2T2_sf,26,1,271.584
bbb,L2T2_sf,27,1,262.248
bbb,L2T2_sf,28,1,262.608
bbb,L2T2_sf,29,1,257.72
bbb,L2T2_sf,30,1,279.52
bbb,L2T2_sf,31,1,261.656
bbb,L2T2_sf,32,1,259.824
bbb,L2T2_sf,33,1,274.248
bbb,L2T2_sf,34,1,260.368
bbb,L2T2_sf,35,1,278.648
bbb,L2T2_sf,36,1,267.944
bbb,L2T2_sf,37,1,256.304
bbb,L2T2_sf,38,1,232.568
bbb,L2T2_sf,39,1,276.52
bbb,L2T2_sf,40,1,269.944
bbb,L2T2_sf,41,1,252.864
bbb,L2T2_sf,42,1,262.448
bbb,L2T2_sf,43,1,273.328
bbb,L2T2_sf,44,1,259.096
bbb,L2T2_sf,45,1,274.392
bbb,L2T2_sf,46,1,263.944
bbb,L2T2_sf,47,1,398.456
bbb,L2T2_sf,48,1,268.296
bbb,L2T2_sf,49,1,242.192
bbb,L2T2_sf,50,1,265.624
bbb,L2T2_sf,51,1,257.392
bbb,L2T2_sf,52,1,265.248
bbb,L2T2_sf,53,1,266.88
bbb,L2T2_sf,54,1,282.896
bbb,L2T2_sf,55,1,266.416
bbb,L2T2_sf,56,1,242.032
bbb,L2T2_sf,57,1,285.016
bbb,L2T2_sf,58,1,276.848
bbb,L2T2_sf,59,1,257.216
bbb,L2T2_sf,60,1,308.72
bbb,L2T2_sf,61,1,216.416
bbb,L2T2_sf,62,1,273.664
bbb,L2T2_sf,63,1,410.608
bbb,L2T2_sf,64,1,258.8
bbb,L2T2_sf,65,1,248.272
bbb,L2T2_sf,66,1,236.672
bbb,L2T2_sf,67,1,251.72
bbb,L2T2_sf,68,1,325.224
bbb,L2T2_sf,69,1,256.688
bbb,L2T2_sf,70,1,222.176
bbb,L2T2_sf,71,1,320.984
bbb,L2T2_sf,72,1,222.088
bbb,L2T2_sf,73,1,275.24
bbb,L2T2_sf,74,1,345.456
bbb,L2T2_sf,75,1,291.04
bbb,L2T2_sf,76,1,248.0
bbb,L2T2_sf,77,1,261.296
bbb,L2T2_sf,78,1,251.568
bbb,L2T2_sf,79,1,293.64
bbb,L2T2_sf,80,1,269.784
bbb,L2T2_sf,81,1,245.6
bbb,L2T2_sf,82,1,269.312
bbb,L2T2_sf,83,1,271.152
bbb,L2T2_sf,84,1,252.824
bbb,L2T2_sf,85,1,307.504
bbb,L2T2_sf,86,1,260.32
bbb,L2T2_sf,87,1,236.64
bbb,L2T2_sf,88,1,277.16
bbb,L2T2_sf,89,1,232.456
bbb,L2T2_sf,90,1,279.752
bbb,L2T2_sf,91,1,316.672
bbb,L2T2_sf,92,1,208.624
bbb,L2T2_sf,93,1,309.368
bbb,L2T2_sf,94,1,307.8
bbb,L2T2_sf,95,1,279.632
bbb,L2T2_sf,96,1,234.08
bbb,L2T2_sf,97,1,241.952
bbb,L2T2_sf,98,1,270.512
bbb,L2T2_sf,99,1,220.24
bbb,L2T2_sf,100,1,309.0
bbb,L2T2_sf,101,1,290.296
bbb,L2T2_sf,102,1,240.84
bbb,L2T2_sf,103,1,266.216
bbb,L2T2_sf,104,1,271.552
bbb,L2T2_sf,105,1,322.16
bbb,L2T2_sf,106,1,238.096
bbb,L2T2_sf,107,1,278.456
bbb,L2T2_sf,108,1,253.616
bbb,L2T2_sf,109,1,280.768
bbb,L2T2_sf,110,1,237.016
bbb,L2T2_sf,111,1,279.032
bbb,L2T2_sf,112,1,267.296
bbb,L2T2_sf,113,1,263.104
bbb,L2T2_sf,114,1,279.504
bbb,L2T2_sf,115,1,263.112
bbb,L2T2_sf,116,1,263.712
bbb,L2T2_sf,117,1,311.168
bbb,L2T2_sf,118,1,301.368
bbb,L2T2_sf,119,1,254.696
bbb,L2T2_sf,120,1,283.736
bbb,L2T2_sf,121,1,269.608
bbb,L2T2_sf,122,1,285.264
bbb,L2T2_sf,123,1,283.6
bbb,L2T2_sf,124,1,240.768
bbb,L2T2_sf,125,1,261.896
bbb,L2T2_sf,126,1,349.552
bbb,L2T2_sf,127,1,271.608
bbb,L2T2_sf,128,1,261.776
bbb,L2T2_sf,129,1,257.816
bbb,L2T2_sf,130,1,291.408
bbb,L2T2_sf,131,1,258.528
bbb,L2T2_sf,132,1,251.816
bbb,L2T2_sf,133,1,265.92
bbb,L2T2_sf,134,1,289.88
bbb,L2T2_sf,135,1,272.648
bbb,L2T2_sf,136,1,249.464
bbb,L2T2_sf,137,1,280.008
bbb,L2T2_sf,138,1,255.72
bbb,L2T2_sf,139,1,267.312
bbb,L2T2_sf,140,1,255.752
bbb,L2T2_sf,141,1,274.92
bbb,L2T2_sf,142,1,291.496
bbb,L2T2_sf,143,1,248.696
bbb,L2T2_sf,144,1,282.776
bbb,L2T2_sf,145,1,259.672
bbb,L2T2_sf,146,1,329.552
bbb,L2T2_sf,147,1,225.016
bbb,L2T2_sf,148,1,223.8
bbb,L2T2_sf,149,1,283.064
bbb,L2T2_sf,150,1,262.936
bbb,L2T2_sf,151,1,275.808
bbb,L2T2_sf,152,1,263.664
bbb,L2T2_sf,153,1,249.432
bbb,L2T2_sf,154,1,271.2
bbb,L2T2_sf,155,1,352.624
bbb,L2T2_sf,156,1,196.768
bbb,L2T2_sf,157,1,231.888
bbb,L2T2_sf,158,1,263.928
bbb,L2T2_sf,159,1,292.488
bbb,L2T2_sf,160,1,338.992
bbb,L2T2_sf,161,1,270.168
bbb,L2T2_sf,162,1,250.968
bbb,L2T2_sf,163,1,323.088
bbb,L2T2_sf,164,1,235.36
bbb,L2T2_sf,165,1,240.664
bbb,L2T2_sf,166,1,216.768
bbb,L2T2_sf,167,1,459.408
bbb,L2T2_sf,168,1,181.008
bbb,L2T2_sf,169,1,230.936
bbb,L2T2_sf,170,1,233.48
bbb,L2T2_sf,171,1,245.64
bbb,L2T2_sf,172,1,309.128
bbb,L2T2_sf,173,1,268.512
bbb,L2T2_sf,174,1,272.0
bbb,L2T2_sf,175,1,274.616
bbb,L2T2_sf,176,1,351.448
bbb,L2T2_sf,177,1,234.136
bbb,L2T2_sf,178,1,251.344
bbb,L2T2_sf,0,2,362.72
bbb,L2T2_sf,1,2,1749.872
bbb,L2T2_sf,2,2,1153.848
bbb,L2T2_sf,3,2,1230.336
bbb,L2T2_sf,4,2,1171.68
bbb,L2T2_sf,5,2,1229.36
bbb,L2T2_sf,6,2,1214.112
bbb,L2T2_sf,7,2,1281.384
bbb,L2T2_sf,8,2,1192.224
bbb,L2T2_sf,9,2,1221.704
bbb,L2T2_sf,10,2,1220.712
bbb,L2T2_sf,11,2,1195.312
bbb,L2T2_sf,12,2,1153.864
bbb,L2T2_sf,13,2,1354.168
bbb,L2T2_sf,14,2,1271.192
bbb,L2T2_sf,15,2,1069.304
bbb,L2T2_sf,16,2,1317.744
bbb,L2T2_sf,17,2,1293.072
bbb,L2T2_sf,18,2,1230.232
bbb,L2T2_sf,19,2,1234.904
bbb,L2T2_sf,20,2,1351.104
bbb,L2T2_sf,21,2,1017.384
bbb,L2T2_sf,22,2,1253.344
bbb,L2T2_sf,23,2,1205.672
bbb,L2T2_sf,24,2,1287.784
bbb,L2T2_sf,25,2,1289.384
bbb,L2T2_sf,26,2,1237.2
bbb,L2T2_sf,27,2,1224.408
bbb,L2T2_sf,28,2,1234.952
bbb,L2T2_sf,29,2,1244.28
bbb,L2T2_sf,30,2,1213.8
bbb,L2T2_sf,31,2,1288.928
bbb,L2T2_sf,32,2,1220.224
bbb,L2T2_sf,33,2,1197.264
bbb,L2T2_sf,34,2,1243.824
bbb,L2T2_sf,35,2,1278.688
bbb,L2T2_sf,36,2,1262.904
bbb,L2T2_sf,37,2,1244.52
bbb,L2T2_sf,38,2,1136.84
bbb,L2T2_sf,39,2,1243.296
bbb,L2T2_sf,40,2,1312.168
bbb,L2T2_sf,41,2,1178.592
bbb,L2T2_sf,42,2,1230.536
bbb,L2T2_sf,43,2,1265.96
bbb,L2T2_sf,44,2,1241.248
bbb,L2T2_sf,45,2,1235.824
bbb,L2T2_sf,46,2,1253.24
bbb,L2T2_sf,47,2,1367.032
bbb,L2T2_sf,48,2,1239.304
bbb,L2T2_sf,49,2,1218.384
bbb,L2T2_sf,50,2,1225.424
bbb,L2T2_sf,51,2,1259.544
bbb,L2T2_sf,52,2,1265.728
bbb,L2T2_sf,53,2,1243.624
bbb,L2T2_sf,54,2,1282.496
bbb,L2T2_sf,55,2,1221.72
bbb,L2T2_sf,56,2,1085.736
bbb,L2T2_sf,57,2,1336.928
bbb,L2T2_sf,58,2,1273.68
bbb,L2T2_sf,59,2,1235.992
bbb,L2T2_sf,60,2,1393.728
bbb,L2T2_sf,61,2,1035.392
bbb,L2T2_sf,62,2,1230.536
bbb,L2T2_sf,63,2,1386.12
bbb,L2T2_sf,64,2,1198.536
bbb,L2T2_sf,65,2,1224.224
bbb,L2T2_sf,66,2,1178.816
bbb,L2T2_sf,67,2,1215.896
bbb,L2T2_sf,68,2,1433.2
bbb,L2T2_sf,69,2,1292.408
bbb,L2T2_sf,70,2,1108.04
bbb,L2T2_sf,71,2,1340.216
bbb,L2T2_sf,72,2,1153.6
bbb,L2T2_sf,73,2,1124.464
bbb,L2T2_sf,74,2,1506.552
bbb,L2T2_sf,75,2,1250.672
bbb,L2T2_sf,76,2,1177.864
bbb,L2T2_sf,77,2,1204.328
bbb,L2T2_sf,78,2,1202.576
bbb,L2T2_sf,79,2,1222.952
bbb,L2T2_sf,80,2,1291.672
bbb,L2T2_sf,81,2,1229.656
bbb,L2T2_sf,82,2,1254.128
bbb,L2T2_sf,83,2,1210.032
bbb,L2T2_sf,84,2,1195.096
bbb,L2T2_sf,85,2,1341.72
bbb,L2T2_sf,86,2,1254.288
bbb,L2T2_sf,87,2,1198.256
bbb,L2T2_sf,88,2,1210.32
bbb,L2T2_sf,89,2,1109.296
bbb,L2T2_sf,90,2,1331.616
bbb,L2T2_sf,91,2,1255.728
bbb,L2T2_sf,92,2,1117.192
bbb,L2T2_sf,93,2,1349.736
bbb,L2T2_sf,94,2,1322.36
bbb,L2T2_sf,95,2,1278.856
bbb,L2T2_sf,96,2,1193.784
bbb,L2T2_sf,97,2,1171.016
bbb,L2T2_sf,98,2,1219.704
bbb,L2T2_sf,99,2,1167.944
bbb,L2T2_sf,100,2,1351.576
bbb,L2T2_sf,101,2,1350.92
bbb,L2T2_sf,102,2,1115.752
bbb,L2T2_sf,103,2,1147.024
bbb,L2T2_sf,104,2,1199.896
bbb,L2T2_sf,105,2,1424.92
bbb,L2T2_sf,106,2,1191.768
