source,config,second,level,r_raw
bbb,L3T3_tf,0,1,27.112
bbb,L3T3_tf,1,1,107.304
bbb,L3T3_tf,2,1,74.6
bbb,L3T3_tf,3,1,72.96
bbb,L3T3_tf,4,1,75.176
bbb,L3T3_tf,5,1,67.128
bbb,L3T3_tf,6,1,77.0
bbb,L3T3_tf,7,1,76.824
bbb,L3T3_tf,8,1,81.52
bbb,L3T3_tf,9,1,70.544
bbb,L3T3_tf,10,1,75.696
bbb,L3T3_tf,11,1,118.824
bbb,L3T3_tf,12,1,23.12
bbb,L3T3_tf,13,1,70.736
bbb,L3T3_tf,14,1,70.216
bbb,L3T3_tf,15,1,79.936
bbb,L3T3_tf,16,1,74.0
bbb,L3T3_tf,17,1,92.056
bbb,L3T3_tf,18,1,58.464
bbb,L3T3_tf,19,1,94.056
bbb,L3T3_tf,20,1,69.16
bbb,L3T3_tf,21,1,47.576
bbb,L3T3_tf,22,1,58.416
bbb,L3T3_tf,23,1,39.536
bbb,L3T3_tf,24,1,56.04
bbb,L3T3_tf,25,1,78.6
bbb,L3T3_tf,26,1,80.536
bbb,L3T3_tf,27,1,72.56
bbb,L3T3_tf,28,1,83.728
bbb,L3T3_tf,29,1,70.192
bbb,L3T3_tf,30,1,76.224
bbb,L3T3_tf,31,1,76.248
bbb,L3T3_tf,32,1,84.16
bbb,L3T3_tf,33,1,64.584
bbb,L3T3_tf,34,1,74.592
bbb,L3T3_tf,35,1,70.848
bbb,L3T3_tf,36,1,83.176
bbb,L3T3_tf,37,1,71.096
bbb,L3T3_tf,38,1,83.552
bbb,L3T3_tf,39,1,68.776
bbb,L3T3_tf,40,1,81.0
bbb,L3T3_tf,41,1,71.632
bbb,L3T3_tf,42,1,79.912
bbb,L3T3_tf,43,1,74.472
bbb,L3T3_tf,44,1,85.536
bbb,L3T3_tf,45,1,64.368
bbb,L3T3_tf,46,1,83.632
bbb,L3T3_tf,47,1,77.208
bbb,L3T3_tf,48,1,48.24
bbb,L3T3_tf,49,1,66.608
bbb,L3T3_tf,50,1,82.512
bbb,L3T3_tf,51,1,81.584
bbb,L3T3_tf,52,1,83.592
bbb,L3T3_tf,53,1,72.736
bbb,L3T3_tf,54,1,81.032
bbb,L3T3_tf,55,1,70.424
bbb,L3T3_tf,56,1,58.472
bbb,L3T3_tf,57,1,78.96
bbb,L3T3_tf,58,1,84.792
bbb,L3T3_tf,59,1,60.664
bbb,L3T3_tf,60,1,105.72
bbb,L3T3_tf,61,1,60.416
bbb,L3T3_tf,62,1,65.136
bbb,L3T3_tf,63,1,68.312
bbb,L3T3_tf,64,1,46.928
bbb,L3T3_tf,65,1,79.64
bbb,L3T3_tf,66,1,68.416
bbb,L3T3_tf,67,1,74.832
bbb,L3T3_tf,68,1,89.864
bbb,L3T3_tf,69,1,86.2
bbb,L3T3_tf,70,1,61.016
bbb,L3T3_tf,71,1,58.312
bbb,L3T3_tf,72,1,55.824
bbb,L3T3_tf,73,1,48.496
bbb,L3T3_tf,74,1,53.4
bbb,L3T3_tf,75,1,49.672
bbb,L3T3_tf,76,1,55.944
bbb,L3T3_tf,77,1,53.168
bbb,L3T3_tf,78,1,52.08
bbb,L3T3_tf,79,1,52.768
bbb,L3T3_tf,80,1,54.784
bbb,L3T3_tf,81,1,47.32
bbb,L3T3_tf,82,1,61.464
bbb,L3T3_tf,83,1,45.12
bbb,L3T3_tf,84,1,52.128
bbb,L3T3_tf,85,1,67.2
bbb,L3T3_tf,86,1,62.056
bbb,L3T3_tf,87,1,55.096
bbb,L3T3_tf,88,1,53.896
bbb,L3T3_tf,89,1,76.648
bbb,L3T3_tf,90,1,75.928
bbb,L3T3_tf,91,1,78.224
bbb,L3T3_tf,92,1,72.496
bbb,L3T3_tf,93,1,64.648
bbb,L3T3_tf,94,1,95.032
