source,config,second,level,r_raw
johnny,L2T2_sf,0,1,228.368
johnny,L2T2_sf,1,1,234.944
johnny,L2T2_sf,2,1,258.824
johnny,L2T2_sf,3,1,266.296
johnny,L2T2_sf,4,1,274.024
johnny,L2T2_sf,5,1,251.304
johnny,L2T2_sf,6,1,273.504
johnny,L2T2_sf,7,1,271.864
johnny,L2T2_sf,8,1,275.328
johnny,L2T2_sf,9,1,288.368
johnny,L2T2_sf,10,1,242.96
johnny,L2T2_sf,11,1,261.152
johnny,L2T2_sf,12,1,270.568
johnny,L2T2_sf,13,1,265.712
johnny,L2T2_sf,14,1,269.208
johnny,L2T2_sf,15,1,250.536
johnny,L2T2_sf,16,1,291.888
johnny,L2T2_sf,17,1,259.264
johnny,L2T2_sf,18,1,277.568
johnny,L2T2_sf,19,1,262.24
johnny,L2T2_sf,20,1,268.12
johnny,L2T2_sf,21,1,267.504
johnny,L2T2_sf,22,1,269.44
johnny,L2T2_sf,23,1,263.784
johnny,L2T2_sf,24,1,265.984
johnny,L2T2_sf,25,1,251.44
johnny,L2T2_sf,26,1,299.472
johnny,L2T2_sf,27,1,263.232
johnny,L2T2_sf,28,1,273.2
johnny,L2T2_sf,29,1,258.328
johnny,L2T2_sf,30,1,276.576
johnny,L2T2_sf,31,1,263.352
johnny,L2T2_sf,32,1,276.248
johnny,L2T2_sf,33,1,267.424
johnny,L2T2_sf,34,1,261.0
johnny,L2T2_sf,35,1,256.552
johnny,L2T2_sf,36,1,282.288
johnny,L2T2_sf,37,1,272.976
johnny,L2T2_sf,38,1,270.344
johnny,L2T2_sf,39,1,255.584
johnny,L2T2_sf,40,1,274.384
johnny,L2T2_sf,41,1,262.336
johnny,L2T2_sf,42,1,275.696
johnny,L2T2_sf,43,1,266.824
johnny,L2T2_sf,44,1,265.496
johnny,L2T2_sf,45,1,259.016
johnny,L2T2_sf,46,1,280.872
johnny,L2T2_sf,47,1,268.432
johnny,L2T2_sf,48,1,280.288
johnny,L2T2_sf,49,1,256.8
johnny,L2T2_sf,50,1,265.048
johnny,L2T2_sf,51,1,270.6
johnny,L2T2_sf,52,1,266.568
johnny,L2T2_sf,53,1,266.48
johnny,L2T2_sf,54,1,269.048
johnny,L2T2_sf,55,1,258.368
johnny,L2T2_sf,56,1,283.68
johnny,L2T2_sf,57,1,268.208
johnny,L2T2_sf,58,1,271.968
johnny,L2T2_sf,59,1,262.24
johnny,L2T2_sf,0,2,948.568
johnny,L2T2_sf,1,2,1201.176
johnny,L2T2_sf,2,2,1233.24
johnny,L2T2_sf,3,2,1288.016
johnny,L2T2_sf,4,2,1253.296
johnny,L2T2_sf,5,2,1229.6
johnny,L2T2_sf,6,2,1260.76
johnny,L2T2_sf,7,2,1222.264
johnny,L2T2_sf,8,2,1275.608
johnny,L2T2_sf,9,2,1279.112
johnny,L2T2_sf,10,2,1203.6
johnny,L2T2_sf,11,2,1239.048
johnny,L2T2_sf,12,2,1249.72
johnny,L2T2_sf,13,2,1251.216
johnny,L2T2_sf,14,2,1248.48
johnny,L2T2_sf,15,2,1234.136
johnny,L2T2_sf,16,2,1279.368
johnny,L2T2_sf,17,2,1246.688
johnny,L2T2_sf,18,2,1267.36
johnny,L2T2_sf,19,2,1239.616
johnny,L2T2_sf,20,2,1248.256
johnny,L2T2_sf,21,2,1241.52
johnny,L2T2_sf,22,2,1248.488
johnny,L2T2_sf,23,2,1245.808
johnny,L2T2_sf,24,2,1250.024
johnny,L2T2_sf,25,2,1223.712
johnny,L2T2_sf,26,2,1299.12
johnny,L2T2_sf,27,2,1222.808
johnny,L2T2_sf,28,2,1269.872
johnny,L2T2_sf,29,2,1236.016
johnny,L2T2_sf,30,2,1264.944
johnny,L2T2_sf,31,2,1243.256
johnny,L2T2_sf,32,2,1261.472
johnny,L2T2_sf,33,2,1242.392
johnny,L2T2_sf,34,2,1247.672
johnny,L2T2_sf,35,2,1221.656
johnny,L2T2_sf,36,2,1278.176
johnny,L2T2_sf,37,2,1250.32
johnny,L2T2_sf,38,2,1265.88
johnny,L2T2_sf,39,2,1224.544
johnny,L2T2_sf,40,2,1258.92
johnny,L2T2_sf,41,2,1238.0
johnny,L2T2_sf,42,2,1264.912
johnny,L2T2_sf,43,2,1238.992
johnny,L2T2_sf,44,2,1243.912
johnny,L2T2_sf,45,2,1224.744
johnny,L2T2_sf,46,2,1272.832
johnny,L2T2_sf,47,2,1248.944
johnny,L2T2_sf,48,2,1274.584
johnny,L2T2_sf,49,2,1224.72
johnny,L2T2_sf,50,2,1252.104
johnny,L2T2_sf,51,2,1249.912
johnny,L2T2_sf,52,2,1254.8
johnny,L2T2_sf,53,2,1244.048
johnny,L2T2_sf,54,2,1246.984
johnny,L2T2_sf,55,2,1226.16
johnny,L2T2_sf,56,2,1282.688
johnny,L2T2_sf,57,2,1251.68
johnny,L2T2_sf,58,2,1263.496
johnny,L2T2_sf,59,2,1236.496
johnny,L2T2_sf,0,3,1361.504
johnny,L2T2_sf,1,3,1863.44
johnny,L2T2_sf,2,3,1923.736
johnny,L2T2_sf,3,3,2037.304
johnny,L2T2_sf,4,3,1907.312
johnny,L2T2_sf,5,3,1896.528
johnny,L2T2_sf,6,3,1947.168
johnny,L2T2_sf,7,3,1896.072
johnny,L2T2_sf,8,3,1979.936
johnny,L2T2_sf,9,3,1973.504
johnny,L2T2_sf,10,3,1906.28
johnny,L2T2_sf,11,3,1914.304
johnny,L2T2_sf,12,3,1944.048
johnny,L2T2_sf,13,3,1950.096
johnny,L2T2_sf,14,3,1923.656
johnny,L2T2_sf,15,3,1924.632
johnny,L2T2_sf,16,3,1960.416
johnny,L2T2_sf,17,3,1930.232
johnny,L2T2_sf,18,3,1981.28
johnny,L2T2_sf,19,3,1991.336
johnny,L2T2_sf,20,3,1894.912
johnny,L2T2_sf,21,3,1905.2
johnny,L2T2_sf,22,3,1943.368
johnny,L2T2_sf,23,3,1925.672
johnny,L2T2_sf,24,3,1933.224
johnny,L2T2_sf,25,3,1901.512
johnny,L2T2_sf,26,3,1979.832
johnny,L2T2_sf,27,3,1916.424
johnny,L2T2_sf,28,3,1980.44
johnny,L2T2_sf,29,3,1916.24
johnny,L2T2_sf,30,3,1965.92
johnny,L2T2_sf,31,3,1908.64
johnny,L2T2_sf,32,3,1979.792
johnny,L2T2_sf,33,3,1932.448
johnny,L2T2_sf,34,3,1926.376
johnny,L2T2_sf,35,3,1884.48
johnny,L2T2_sf,36,3,1978.704
johnny,L2T2_sf,37,3,1947.824
johnny,L2T2_sf,38,3,1979.432
johnny,L2T2_sf,39,3,1906.88
johnny,L2T2_sf,40,3,1936.816
johnny,L2T2_sf,41,3,1917.672
johnny,L2T2_sf,42,3,1949.032
johnny,L2T2_sf,43,3,1938.144
