source,config,second,level,r_raw
johnny,L2T2_tf,0,1,228.368
johnny,L2T2_tf,1,1,234.944
johnny,L2T2_tf,2,1,258.824
johnny,L2T2_tf,3,1,266.296
johnny,L2T2_tf,4,1,274.024
johnny,L2T2_tf,5,1,251.304
johnny,L2T2_tf,6,1,273.504
johnny,L2T2_tf,7,1,271.864
johnny,L2T2_tf,8,1,275.328
johnny,L2T2_tf,9,1,288.368
johnny,L2T2_tf,10,1,242.96
johnny,L2T2_tf,11,1,261.152
johnny,L2T2_tf,12,1,270.568
johnny,L2T2_tf,13,1,265.712
johnny,L2T2_tf,14,1,269.208
johnny,L2T2_tf,15,1,250.536
johnny,L2T2_tf,16,1,291.888
johnny,L2T2_tf,17,1,259.264
johnny,L2T2_tf,18,1,277.568
johnny,L2T2_tf,19,1,262.24
johnny,L2T2_tf,20,1,268.12
johnny,L2T2_tf,21,1,267.504
johnny,L2T2_tf,22,1,269.44
johnny,L2T2_tf,23,1,263.784
johnny,L2T2_tf,24,1,265.984
johnny,L2T2_tf,25,1,251.44
johnny,L2T2_tf,26,1,299.472
johnny,L2T2_tf,27,1,263.232
johnny,L2T2_tf,28,1,273.2
johnny,L2T2_tf,29,1,258.328
johnny,L2T2_tf,30,1,276.576
johnny,L2T2_tf,31,1,263.352
johnny,L2T2_tf,32,1,276.248
johnny,L2T2_tf,33,1,267.424
johnny,L2T2_tf,34,1,261.0
johnny,L2T2_tf,35,1,256.552
johnny,L2T2_tf,36,1,282.288
johnny,L2T2_tf,37,1,272.976
johnny,L2T2_tf,38,1,270.344
johnny,L2T2_tf,39,1,255.584
johnny,L2T2_tf,40,1,274.384
johnny,L2T2_tf,41,1,262.336
johnny,L2T2_tf,42,1,275.696
johnny,L2T2_tf,43,1,266.824
johnny,L2T2_tf,44,1,265.496
johnny,L2T2_tf,45,1,259.016
johnny,L2T2_tf,46,1,280.872
johnny,L2T2_tf,47,1,268.432
johnny,L2T2_tf,48,1,280.288
johnny,L2T2_tf,49,1,256.8
johnny,L2T2_tf,50,1,265.048
johnny,L2T2_tf,51,1,270.6
johnny,L2T2_tf,52,1,266.568
johnny,L2T2_tf,53,1,266.48
johnny,L2T2_tf,54,1,269.048
johnny,L2T2_tf,55,1,258.368
johnny,L2T2_tf,56,1,283.68
johnny,L2T2_tf,57,1,268.208
johnny,L2T2_tf,58,1,271.968
johnny,L2T2_tf,59,1,262.24
johnny,L2T2_tf,0,2,330.456
johnny,L2T2_tf,1,2,363.608
johnny,L2T2_tf,2,2,403.68
johnny,L2T2_tf,3,2,419.832
johnny,L2T2_tf,4,2,420.816
johnny,L2T2_tf,5,2,395.4
johnny,L2T2_tf,6,2,429.04
johnny,L2T2_tf,7,2,414.008
johnny,L2T2_tf,8,2,432.096
johnny,L2T2_tf,9,2,437.4
johnny,L2T2_tf,10,2,398.312
johnny,L2T2_tf,11,2,403.192
johnny,L2T2_tf,12,2,424.256
johnny,L2T2_tf,13,2,412.304
johnny,L2T2_tf,14,2,409.208
johnny,L2T2_tf,15,2,412.08
johnny,L2T2_tf,16,2,437.864
johnny,L2T2_tf,17,2,400.944
johnny,L2T2_tf,18,2,436.016
johnny,L2T2_tf,19,2,437.064
johnny,L2T2_tf,20,2,403.592
johnny,L2T2_tf,21,2,398.576
johnny,L2T2_tf,22,2,424.152
johnny,L2T2_tf,23,2,406.672
johnny,L2T2_tf,24,2,415.928
johnny,L2T2_tf,25,2,399.816
johnny,L2T2_tf,26,2,445.064
johnny,L2T2_tf,27,2,406.192
johnny,L2T2_tf,28,2,422.848
johnny,L2T2_tf,29,2,402.928
johnny,L2T2_tf,30,2,431.792
johnny,L2T2_tf,31,2,398.624
johnny,L2T2_tf,32,2,445.408
johnny,L2T2_tf,33,2,412.736
johnny,L2T2_tf,34,2,406.216
johnny,L2T2_tf,35,2,395.648
johnny,L2T2_tf,36,2,434.632
johnny,L2T2_tf,37,2,426.064
johnny,L2T2_tf,38,2,428.624
johnny,L2T2_tf,39,2,406.016
johnny,L2T2_tf,40,2,417.488
johnny,L2T2_tf,41,2,402.16
johnny,L2T2_tf,42,2,425.936
johnny,L2T2_tf,43,2,411.448
johnny,L2T2_tf,44,2,409.696
johnny,L2T2_tf,45,2,400.216
johnny,L2T2_tf,46,2,442.504
johnny,L2T2_tf,47,2,417.824
johnny,L2T2_tf,48,2,430.424
johnny,L2T2_tf,49,2,398.264
johnny,L2T2_tf,50,2,419.664
johnny,L2T2_tf,51,2,413.704
johnny,L2T2_tf,52,2,425.2
johnny,L2T2_tf,53,2,412.768
johnny,L2T2_tf,54,2,408.072
johnny,L2T2_tf,55,2,410.08
johnny,L2T2_tf,56,2,434.696
johnny,L2T2_tf,57,2,418.88
johnny,L2T2_tf,58,2,422.04
johnny,L2T2_tf,59,2,402.328
johnny,L2T2_tf,0,3,1361.504
johnny,L2T2_tf,1,3,1863.44
johnny,L2T2_tf,2,3,1923.736
johnny,L2T2_tf,3,3,2037.304
johnny,L2T2_tf,4,3,1907.312
johnny,L2T2_tf,5,3,1896.528
johnny,L2T2_tf,6,3,1947.168
johnny,L2T2_tf,7,3,1896.072
johnny,L2T2_tf,8,3,1979.936
johnny,L2T2_tf,9,3,1973.504
johnny,L2T2_tf,10,3,1906.28
johnny,L2T2_tf,11,3,1914.304
johnny,L2T2_tf,12,3,1944.048
johnny,L2T2_tf,13,3,1950.096
johnny,L2T2_tf,14,3,1923.656
johnny,L2T2_tf,15,3,1924.632
johnny,L2T2_tf,16,3,1960.416
johnny,L2T2_tf,17,3,1930.232
johnny,L2T2_tf,18,3,1981.28
johnny,L2T2_tf,19,3,1991.336
johnny,L2T2_tf,20,3,1894.912
johnny,L2T2_tf,21,3,1905.2
johnny,L2T2_tf,22,3,1943.368
johnny,L2T2_tf,23,3,1925.672
johnny,L2T2_tf,24,3,1933.224
johnny,L2T2_tf,25,3,1901.512
johnny,L2T2_tf,26,3,1979.832
johnny,L2T2_tf,27,3,1916.424
johnny,L2T2_tf,28,3,1980.44
johnny,L2T2_tf,29,3,1916.24
johnny,L2T2_tf,30,3,1965.92
johnny,L2T2_tf,31,3,1908.64
johnny,L2T2_tf,32,3,1979.792
johnny,L2T2_tf,33,3,1932.448
johnny,L2T2_tf,34,3,1926.376
johnny,L2T2_tf,35,3,1884.48
johnny,L2T2_tf,36,3,1978.704
johnny,L2T2_tf,37,3,1947.824
johnny,L2T2_tf,38,3,1979.432
johnny,L2T2_tf,39,3,1906.88
johnny,L2T2_tf,40,3,1936.816
johnny,L2T2_tf,41,3,1917.672
johnny,L2T2_tf,42,3,1949.032
johnny,L2T2_tf,43,3,1938.144
johnny,L2T2_tf,44,3,1922.816
johnny,L2T2_tf,45,3,1882.808
johnny,L2T2_tf,46,3,1985.168
johnny,L2T2_tf,47,3,1931.656
johnny,L2T2_tf,48,3,1979.6
johnny,L2T2_tf,49,3,1893.48
johnny,L2T2_tf,50,3,1954.176
johnny,L2T2_tf,51,3,1926.952
johnny,L2T2_tf,52,3,1955.96
johnny,L2T2_tf,53,3,1941.528
johnny,L2T2_tf,54,3,1918.28
johnny,L2T2_tf,55,3,1912.256
johnny,L2T2_tf,56,3,1986.016
johnny,L2T2_tf,57,3,1941.168
johnny,L2T2_tf,58,3,1952.56
johnny,L2T2_tf,59,3,1920.768
